file,line,character,severity,type,reason,rule_id
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,91,72,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,95,72,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,99,75,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,103,75,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,107,78,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,111,81,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupWalkerTests.swift,115,81,Warning,Void Return,Prefer `-> Void` over `-> ()`,void_return
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Visitors/MarkupTreeDumperTests.swift,15,10,Warning,Function Body Length,Function body should span 50 lines or less excluding comments and whitespace: currently spans 84 lines,function_body_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/TableTests.swift,45,47,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/TableTests.swift,113,47,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/TableTests.swift,141,47,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/TableTests.swift,105,10,Warning,Function Body Length,Function body should span 50 lines or less excluding comments and whitespace: currently spans 66 lines,function_body_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/TableTests.swift,98,28,Warning,Trailing Comma,Collection literals should not have trailing commas,trailing_comma
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/TableTests.swift,148,42,Warning,Trailing Comma,Collection literals should not have trailing commas,trailing_comma
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/ParagraphTests.swift,68,,Warning,Line Length,Line should be 120 characters or less; currently it has 137 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/ParagraphTests.swift,82,,Warning,Line Length,Line should be 120 characters or less; currently it has 137 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/ParagraphTests.swift,94,,Warning,Line Length,Line should be 120 characters or less; currently it has 137 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/ParagraphTests.swift,110,,Warning,Line Length,Line should be 120 characters or less; currently it has 137 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/ParagraphTests.swift,117,,Warning,Line Length,Line should be 120 characters or less; currently it has 137 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/ParagraphTests.swift,130,,Warning,Line Length,Line should be 120 characters or less; currently it has 137 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/ParagraphTests.swift,140,,Warning,Line Length,Line should be 120 characters or less; currently it has 137 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/ParagraphTests.swift,106,,Warning,Trailing Whitespace,Lines should not have trailing whitespace,trailing_whitespace
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Interpretive Nodes/AsideTests.swift,19,52,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Interpretive Nodes/AsideTests.swift,40,48,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Interpretive Nodes/AsideTests.swift,49,48,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Interpretive Nodes/AsideTests.swift,70,48,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Interpretive Nodes/AsideTests.swift,52,,Warning,Trailing Whitespace,Lines should not have trailing whitespace,trailing_whitespace
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Block Nodes/DocumentTests.swift,19,38,Warning,Trailing Comma,Collection literals should not have trailing commas,trailing_comma
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,34,90,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,67,93,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,25,10,Warning,Function Body Length,Function body should span 50 lines or less excluding comments and whitespace: currently spans 69 lines,function_body_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,33,,Warning,Line Length,Line should be 120 characters or less; currently it has 146 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,34,,Warning,Line Length,Line should be 120 characters or less; currently it has 142 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,42,,Warning,Line Length,Line should be 120 characters or less; currently it has 146 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,66,,Warning,Line Length,Line should be 120 characters or less; currently it has 146 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,67,,Warning,Line Length,Line should be 120 characters or less; currently it has 145 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,75,,Warning,Line Length,Line should be 120 characters or less; currently it has 146 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,91,,Warning,Line Length,Line should be 120 characters or less; currently it has 146 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,24,,Warning,Trailing Whitespace,Lines should not have trailing whitespace,trailing_whitespace
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,28,,Warning,Trailing Whitespace,Lines should not have trailing whitespace,trailing_whitespace
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,37,,Warning,Trailing Whitespace,Lines should not have trailing whitespace,trailing_whitespace
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,61,,Warning,Trailing Whitespace,Lines should not have trailing whitespace,trailing_whitespace
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,70,,Warning,Trailing Whitespace,Lines should not have trailing whitespace,trailing_whitespace
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicBlockContainerTests.swift,86,,Warning,Trailing Whitespace,Lines should not have trailing whitespace,trailing_whitespace
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicInlineContainerTests.swift,34,88,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicInlineContainerTests.swift,60,91,Error,Force Cast,Force casts should be avoided,force_cast
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicInlineContainerTests.swift,25,10,Warning,Function Body Length,Function body should span 50 lines or less excluding comments and whitespace: currently spans 58 lines,function_body_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicInlineContainerTests.swift,33,,Warning,Line Length,Line should be 120 characters or less; currently it has 131 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicInlineContainerTests.swift,34,,Warning,Line Length,Line should be 120 characters or less; currently it has 135 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicInlineContainerTests.swift,42,,Warning,Line Length,Line should be 120 characters or less; currently it has 131 characters,line_length
/Users/joshuatoro/Ignite-Framework/Ignite/.build/checkouts/swift-markdown/Tests/MarkdownTests/Structural Restrictions/BasicInlineContainerTests.swift,60,,Warning,Line Length,Line should be 120 characters or less; currently it has 138 characters,line_length
